informal,formal,input_processed,target_processed
तु छान नाचतोस.,आपण छान नाचता.,तु छान नाचतोस,आपण छान नाचता
मला काही सांगायचंय.,मला काही सांगायचे आहे.,माझ्यासाठी काही सांगायचंय,माझ्यासाठी काही सांगायचे आहे
तु विचारलास का?,आपण विचारले का?,तु विचारलास का,आपण विचारले का
मला काही लिहायचंय.,मला काही लिहायचे आहे.,माझ्यासाठी काही लिहायचंय,माझ्यासाठी काही लिहायचे आहे
तु माझा मित्र आहेस.,आपण माझे मित्र आहात.,तु माझा मित्र आहेस,आपण माझे मित्र आहात
मला फोटो काढायचंय.,मला फोटो काढायचे आहे.,माझ्यासाठी फोटो काढायचंय,माझ्यासाठी फोटो काढायचे आहे
तु फोन केला का?,आपण फोन केला का?,तु फोन केला का,आपण फोन केला का
मला गाडी चालवायचीय.,मला गाडी चालवायची आहे.,माझ्यासाठी गाडी चालवायचीय,माझ्यासाठी गाडी चालवायची आहे
तु आजारी आहेस का?,आपण आजारी आहात का?,तु आजारी आहेस का,आपण आजारी आहात का
मला आराम करायचंय.,मला आराम करायचे आहे.,माझ्यासाठी आराम करायचंय,माझ्यासाठी आराम करायचे आहे
तु बघितलंस का?,आपण पाहिले का?,तु बघितलंस का,आपण पाहिले का
मला पुस्तक वाचायचंय.,मला पुस्तक वाचायचे आहे.,माझ्यासाठी पुस्तक वाचायचंय,माझ्यासाठी पुस्तक वाचायचे आहे
तु वेळेत आलास का?,आपण वेळेत आला आहात का?,तु वेळेत आलास का,आपण वेळेत आला आहात का
मला गप्पा मारायच्यात.,मला गप्पा मारायच्या आहेत.,माझ्यासाठी गप्पा मारायच्यात,माझ्यासाठी गप्पा मारायच्या आहेत
तु मला ओळखतोस का?,आपण मला ओळखता का?,तु माझ्यासाठी ओळखतोस का,आपण माझ्यासाठी ओळखता का
मला जेवायला जायचंय.,मला जेवायला जायचे आहे.,माझ्यासाठी जेवायला जायचंय,माझ्यासाठी जेवायला जायचे आहे
तु आज आला का?,आपण आज आला आहात का?,तु आज आला का,आपण आज आला आहात का
मला कपडे घालायचेत.,मला कपडे घालायचे आहेत.,माझ्यासाठी कपडे घालायचेत,माझ्यासाठी कपडे घालायचे आहेत
तु कधी परत येणार?,आपण कधी परत येणार आहात?,तु कधी परत येणार,आपण कधी परत येणार आहात
मला हे सोडवायचंय.,मला हे सोडवायचे आहे.,माझ्यासाठी हे सोडवायचंय,माझ्यासाठी हे सोडवायचे आहे
तु ऐकलंस का?,आपण ऐकले का?,तु ऐकलंस का,आपण ऐकले का
मला ते करायचंय.,मला ते करायचे आहे.,माझ्यासाठी ते करायचंय,माझ्यासाठी ते करायचे आहे
तु काय शिकतोस?,आपण काय शिकता?,तु काय आहे शिकतोस,आपण काय आहे शिकता
मला उत्तर द्यायचंय.,मला उत्तर द्यायचे आहे.,माझ्यासाठी उत्तर द्यायचंय,माझ्यासाठी उत्तर द्यायचे आहे
तु माझ्यासोबत आलास का?,आपण माझ्यासोबत आला आहात का?,तु माझ्यासोबत आलास का,आपण माझ्यासोबत आला आहात का
मला गाडी विकत घ्यायचीय.,मला गाडी विकत घ्यायची आहे.,माझ्यासाठी गाडी विकत घ्यायचीय,माझ्यासाठी गाडी विकत घ्यायची आहे
तु मला मदत केलीस का?,आपण मला मदत केली का?,तु माझ्यासाठी मदत केलीस का,आपण माझ्यासाठी मदत केली का
मला काही करायचंय.,मला काही करायचे आहे.,माझ्यासाठी काही करायचंय,माझ्यासाठी काही करायचे आहे
तु खूप गोड दिसतोस.,आपण खूप गोड दिसत आहात.,तु अत्यंत गोड दिसतोस,आपण अत्यंत गोड दिसत आहात
मला शांत बसायचंय.,मला शांत बसायचे आहे.,माझ्यासाठी शांत बसायचंय,माझ्यासाठी शांत बसायचे आहे
तु अजून काम केलंस का?,आपण अजून काम केले का?,तु अजून काम केलंस का,आपण अजून काम केले का
मला चहा प्यायचाय.,मला चहा प्यायचा आहे.,माझ्यासाठी चहा प्यायचाय,माझ्यासाठी चहा प्यायचा आहे
तु खुश आहेस.,आपण आनंदी आहात.,तु खुश आहेस,आपण आनंदी आहात
मला झोप काढायचीय.,मला झोप काढायची आहे.,माझ्यासाठी झोप काढायचीय,माझ्यासाठी झोप काढायची आहे
तु अभ्यास केला का?,आपण अभ्यास केला का?,तु अभ्यास केला का,आपण अभ्यास केला का
मला आज बाजारात जायचंय.,मला आज बाजारात जायचे आहे.,माझ्यासाठी आज बाजारात जायचंय,माझ्यासाठी आज बाजारात जायचे आहे
तु कपडे आणलेस का?,आपण कपडे आणले का?,तु कपडे आणलेस का,आपण कपडे आणले का
मला मोबाईल घ्यायचाय.,मला मोबाईल घ्यायचा आहे.,माझ्यासाठी मोबाईल घ्यायचाय,माझ्यासाठी मोबाईल घ्यायचा आहे
तु अजून इथे आहेस का?,आपण अजून येथे आहात का?,तु अजून इथे आहेस का,आपण अजून येथे आहात का
मला फोन करायचाय.,मला फोन करायचा आहे.,माझ्यासाठी फोन करायचाय,माझ्यासाठी फोन करायचा आहे
तु मोकळा आहेस का?,आपण मोकळे आहात का?,तु मोकळा आहेस का,आपण मोकळे आहात का
मला खिडकी उघडायचीय.,मला खिडकी उघडायची आहे.,माझ्यासाठी खिडकी उघडायचीय,माझ्यासाठी खिडकी उघडायची आहे
तु माझ्यासोबत आलास?,आपण माझ्यासोबत आला आहात का?,तु माझ्यासोबत आलास,आपण माझ्यासोबत आला आहात का
मला काम करायचंय.,मला काम करायचे आहे.,माझ्यासाठी काम करायचंय,माझ्यासाठी काम करायचे आहे
तु मला समजावशील का?,आपण मला समजावून सांगाल का?,तु माझ्यासाठी समजावशील का,आपण माझ्यासाठी समजावून सांगाल का
मला काही आठवत नाही.,मला काही आठवत नाही आहे.,माझ्यासाठी काही आठवत नाही,माझ्यासाठी काही आठवत नाही आहे
तु माझं बोलणं ऐकलंस का?,आपण माझं बोलणं ऐकले का?,तु माझं बोलणं ऐकलंस का,आपण माझं बोलणं ऐकले का
मला जेवण बनवायचंय.,मला जेवण बनवायचे आहे.,माझ्यासाठी जेवण बनवायचंय,माझ्यासाठी जेवण बनवायचे आहे
तु अजून बोललास का?,आपण अजून बोललात का?,तु अजून बोललास का,आपण अजून बोललात का
मला पेन विकत घ्यायचंय.,मला पेन विकत घ्यायचे आहे.,माझ्यासाठी पेन विकत घ्यायचंय,माझ्यासाठी पेन विकत घ्यायचे आहे
तु अजून बाहेर गेलास का?,आपण अजून बाहेर गेला आहात का?,तु अजून बाहेर गेलास का,आपण अजून बाहेर गेला आहात का
मला खोली स्वच्छ करायचीय.,मला खोली स्वच्छ करायची आहे.,माझ्यासाठी खोली स्वच्छ करायचीय,माझ्यासाठी खोली स्वच्छ करायची आहे
तु अजून परत आलास का?,आपण अजून परत आला आहात का?,तु अजून परत आलास का,आपण अजून परत आला आहात का
मला काही वाचायचंय.,मला काही वाचायचे आहे.,माझ्यासाठी काही वाचायचंय,माझ्यासाठी काही वाचायचे आहे
तु खूप खुश आहेस.,आपण खूप आनंदी आहात.,तु अत्यंत खुश आहेस,आपण अत्यंत आनंदी आहात
मला हे नकोय.,मला हे नको आहे.,माझ्यासाठी हे नकोय,माझ्यासाठी हे नको आहे
तु माझ्यासोबत आलास?,आपण माझ्यासोबत आला आहात का?,तु माझ्यासोबत आलास,आपण माझ्यासोबत आला आहात का
मला बाजारात जायचंय.,मला बाजारात जायचे आहे.,माझ्यासाठी बाजारात जायचंय,माझ्यासाठी बाजारात जायचे आहे
तु माझं ऐकलंस का?,आपण माझं ऐकले का?,तु माझं ऐकलंस का,आपण माझं ऐकले का
मला गाणं ऐकायचंय.,मला गाणं ऐकायचे आहे.,माझ्यासाठी गाणं ऐकायचंय,माझ्यासाठी गाणं ऐकायचे आहे
तु अजून थांबलास का?,आपण अजून थांबलात का?,तु अजून थांबलास का,आपण अजून थांबलात का
मला पत्र लिहायचंय.,मला पत्र लिहायचे आहे.,माझ्यासाठी पत्र लिहायचंय,माझ्यासाठी पत्र लिहायचे आहे
तु अजून तयार झाला नाहीस.,आपण अजून तयार झाले नाही आहात.,तु अजून तयार झाला नाहीस,आपण अजून तयार झाले नाही आहात
मला खूप अभ्यास करायचाय.,मला खूप अभ्यास करायचा आहे.,माझ्यासाठी अत्यंत अभ्यास करायचाय,माझ्यासाठी अत्यंत अभ्यास करायचा आहे
तु माझा आवाज ऐकतोस का?,आपण माझा आवाज ऐकत आहात का?,तु माझा आवाज ऐकतोस का,आपण माझा आवाज ऐकत आहात का
मला उद्या येायचंय.,मला उद्या यायचे आहे.,माझ्यासाठी उद्या येायचंय,माझ्यासाठी उद्या यायचे आहे
तु मला ओळखलंस का?,आपण मला ओळखले का?,तु माझ्यासाठी ओळखलंस का,आपण माझ्यासाठी ओळखले का
मला हे वापरायचंय.,मला हे वापरायचे आहे.,माझ्यासाठी हे वापरायचंय,माझ्यासाठी हे वापरायचे आहे
तु काय खाल्लंस?,आपण काय खाल्ले?,तु काय आहे खाल्लंस,आपण काय आहे खाल्ले
मला विश्रांती हवी आहे.,मला विश्रांती हवी आहे.,माझ्यासाठी विश्रांती हवी आहे,माझ्यासाठी विश्रांती हवी आहे
तु माझ्यासोबत ये.,कृपया माझ्यासोबत या.,तु माझ्यासोबत ये,कृपया माझ्यासोबत या
मला खेळायला जायचंय.,मला खेळायला जायचे आहे.,माझ्यासाठी खेळायला जायचंय,माझ्यासाठी खेळायला जायचे आहे
तु कधी आलास?,आपण कधी आला आहात?,तु कधी आलास,आपण कधी आला आहात
मला अभ्यास करायचाय.,मला अभ्यास करायचा आहे.,माझ्यासाठी अभ्यास करायचाय,माझ्यासाठी अभ्यास करायचा आहे
तु माझ्याशी भेटलास का?,आपण माझ्याशी भेटलात का?,तु माझ्याशी भेटलास का,आपण माझ्याशी भेटलात का
मला गाणं म्हणायचंय.,मला गाणं म्हणायचे आहे.,माझ्यासाठी गाणं म्हणायचंय,माझ्यासाठी गाणं म्हणायचे आहे
तु काय विचारतोस?,आपण काय विचारता?,तु काय आहे विचारतोस,आपण काय आहे विचारता
मला बोलायला आवडेल.,मला बोलायला आवडेल.,माझ्यासाठी बोलायला आवडेल,माझ्यासाठी बोलायला आवडेल
तु आनंदी आहेस का?,आपण आनंदी आहात का?,तु आनंदी आहेस का,आपण आनंदी आहात का
मला काम पूर्ण करायचंय.,मला काम पूर्ण करायचे आहे.,माझ्यासाठी काम पूर्ण करायचंय,माझ्यासाठी काम पूर्ण करायचे आहे
तु माझ्याशी बोललास का?,आपण माझ्याशी बोललात का?,तु माझ्याशी बोललास का,आपण माझ्याशी बोललात का
मला भटकायला जायचंय.,मला भटकायला जायचे आहे.,माझ्यासाठी भटकायला जायचंय,माझ्यासाठी भटकायला जायचे आहे
informal,formal,informal,formal
तु अजून झोपलास का?,आपण अजून झोपलात का?,तु अजून झोपलास का,आपण अजून झोपलात का
मला दुध प्यायचंय.,मला दुध प्यायचे आहे.,माझ्यासाठी दुध प्यायचंय,माझ्यासाठी दुध प्यायचे आहे
तु किती वाजता आलास?,आपण किती वाजता आला आहात?,तु किती वाजता आलास,आपण किती वाजता आला आहात
मला संध्याकाळी यायचंय.,मला संध्याकाळी यायचे आहे.,माझ्यासाठी संध्याकाळी यायचंय,माझ्यासाठी संध्याकाळी यायचे आहे
तु खूप मोठा झालास.,आपण खूप मोठे झाला आहात.,तु अत्यंत मोठा झालास,आपण अत्यंत मोठे झाला आहात
मला उद्या भेटायचंय.,मला उद्या भेटायचे आहे.,माझ्यासाठी उद्या भेटायचंय,माझ्यासाठी उद्या भेटायचे आहे
तु खेळतोस का?,आपण खेळता का?,तु खेळतोस का,आपण खेळता का
मला आज लवकर झोपायचंय.,मला आज लवकर झोपायचे आहे.,माझ्यासाठी आज लवकर झोपायचंय,माझ्यासाठी आज लवकर झोपायचे आहे
तु शाळेत गेला का?,आपण शाळेत गेला आहात का?,तु शाळेत गेला का,आपण शाळेत गेला आहात का
मला घरी थांबायचंय.,मला घरी थांबायचे आहे.,माझ्यासाठी घरी थांबायचंय,माझ्यासाठी घरी थांबायचे आहे
तु खूप हुशार आहेस.,आपण खूप हुशार आहात.,तु अत्यंत हुशार आहेस,आपण अत्यंत हुशार आहात
मला वेळ द्यायचाय.,मला वेळ द्यायचा आहे.,माझ्यासाठी वेळ द्यायचाय,माझ्यासाठी वेळ द्यायचा आहे
तु अभ्यास करतोस?,आपण अभ्यास करता का?,तु अभ्यास करतोस,आपण अभ्यास करता का
मला अजून थांबायचंय.,मला अजून थांबायचे आहे.,माझ्यासाठी अजून थांबायचंय,माझ्यासाठी अजून थांबायचे आहे
तु माझं पुस्तक आणलंस का?,आपण माझं पुस्तक आणले का?,तु माझं पुस्तक आणलंस का,आपण माझं पुस्तक आणले का
मला शांत व्हायचंय.,मला शांत व्हायचे आहे.,माझ्यासाठी शांत व्हायचंय,माझ्यासाठी शांत व्हायचे आहे
तु माझ्यासोबत आला?,आपण माझ्यासोबत आला आहात का?,तु माझ्यासोबत आला,आपण माझ्यासोबत आला आहात का
मला खूप झोपायचंय.,मला खूप झोपायचे आहे.,माझ्यासाठी अत्यंत झोपायचंय,माझ्यासाठी अत्यंत झोपायचे आहे
तु अजून जेवलास का?,आपण अजून जेवले आहात का?,तु अजून जेवलास का,आपण अजून जेवले आहात का
मला माझं काम करायचंय.,मला माझं काम करायचे आहे.,माझ्यासाठी माझं काम करायचंय,माझ्यासाठी माझं काम करायचे आहे
तु माझ्याशी बोलतोस का?,आपण माझ्याशी बोलता का?,तु माझ्याशी बोलतोस का,आपण माझ्याशी बोलता का
मला ते समजलं नाही.,मला ते समजले नाही आहे.,माझ्यासाठी ते समजलं नाही,माझ्यासाठी ते समजले नाही आहे
तु अजून घरी आलास का?,आपण अजून घरी आला आहात का?,तु अजून घरी आलास का,आपण अजून घरी आला आहात का
मला काही वेळ हवा आहे.,मला काही वेळ हवा आहे.,माझ्यासाठी काही वेळ हवा आहे,माझ्यासाठी काही वेळ हवा आहे
तु माझ्यासोबत आलास का?,आपण माझ्यासोबत आला आहात का?,तु माझ्यासोबत आलास का,आपण माझ्यासोबत आला आहात का
मला उद्या बाजारात जायचंय.,मला उद्या बाजारात जायचे आहे.,माझ्यासाठी उद्या बाजारात जायचंय,माझ्यासाठी उद्या बाजारात जायचे आहे
तु अजून अभ्यास केला का?,आपण अजून अभ्यास केला का?,तु अजून अभ्यास केला का,आपण अजून अभ्यास केला का
मला आज भेटायचंय.,मला आज भेटायचे आहे.,माझ्यासाठी आज भेटायचंय,माझ्यासाठी आज भेटायचे आहे
तु खूप छान दिसतोस.,आपण खूप छान दिसत आहात.,तु अत्यंत छान दिसतोस,आपण अत्यंत छान दिसत आहात
मला उद्या सुट्टी आहे.,मला उद्या सुट्टी आहे.,माझ्यासाठी उद्या सुट्टी आहे,माझ्यासाठी उद्या सुट्टी आहे
तु अजून काम पूर्ण केलंस का?,आपण अजून काम पूर्ण केले का?,तु अजून काम पूर्ण केलंस का,आपण अजून काम पूर्ण केले का
मला हे शिकायचंय.,मला हे शिकायचे आहे.,माझ्यासाठी हे शिकायचंय,माझ्यासाठी हे शिकायचे आहे
तु अजून भेटलास का?,आपण अजून भेटलात का?,तु अजून भेटलास का,आपण अजून भेटलात का
मला नवीन मित्र बनवायचेत.,मला नवीन मित्र बनवायचे आहेत.,माझ्यासाठी नवीन मित्र बनवायचेत,माझ्यासाठी नवीन मित्र बनवायचे आहेत
तु काय शोधतोस?,आपण काय शोधत आहात?,तु काय आहे शोधतोस,आपण काय आहे शोधत आहात
मला खेळ बघायचाय.,मला खेळ बघायचा आहे.,माझ्यासाठी खेळ बघायचाय,माझ्यासाठी खेळ बघायचा आहे
तु माझ्यासोबत राहशील का?,आपण माझ्यासोबत राहाल का?,तु माझ्यासोबत राहशील का,आपण माझ्यासोबत राहाल का
मला खोली साफ करायचीय.,मला खोली साफ करायची आहे.,माझ्यासाठी खोली साफ करायचीय,माझ्यासाठी खोली साफ करायची आहे
तु माझं ऐकतोस का?,आपण माझं ऐकत आहात का?,तु माझं ऐकतोस का,आपण माझं ऐकत आहात का
मला नोकरी शोधायचीय.,मला नोकरी शोधायची आहे.,माझ्यासाठी नोकरी शोधायचीय,माझ्यासाठी नोकरी शोधायची आहे
तु अजून निघाला नाहीस का?,आपण अजून निघाले नाही आहात का?,तु अजून निघाला नाहीस का,आपण अजून निघाले नाही आहात का
मला झाड लावायचंय.,मला झाड लावायचे आहे.,माझ्यासाठी झाड लावायचंय,माझ्यासाठी झाड लावायचे आहे
तु काय खरेदी करतोस?,आपण काय खरेदी करता?,तु काय आहे खरेदी करतोस,आपण काय आहे खरेदी करता
मला चहा करायचाय.,मला चहा करायचा आहे.,माझ्यासाठी चहा करायचाय,माझ्यासाठी चहा करायचा आहे
तु माझ्याशी गप्पा मारशील का?,आपण माझ्याशी गप्पा माराल का?,तु माझ्याशी गप्पा मारशील का,आपण माझ्याशी गप्पा माराल का
मला हे वाचायचंय.,मला हे वाचायचे आहे.,माझ्यासाठी हे वाचायचंय,माझ्यासाठी हे वाचायचे आहे
तु माझं ऐकलंस का?,आपण माझं ऐकले का?,तु माझं ऐकलंस का,आपण माझं ऐकले का
मला बघायला जायचंय.,मला बघायला जायचे आहे.,माझ्यासाठी बघायला जायचंय,माझ्यासाठी बघायला जायचे आहे
तु अजून काम केलं नाहीस का?,आपण अजून काम केले नाही आहात का?,तु अजून काम केलं नाहीस का,आपण अजून काम केले नाही आहात का
मला घर साफ करायचंय.,मला घर साफ करायचे आहे.,माझ्यासाठी घर साफ करायचंय,माझ्यासाठी घर साफ करायचे आहे
तु अजून बाहेर आलास का?,आपण अजून बाहेर आला आहात का?,तु अजून बाहेर आलास का,आपण अजून बाहेर आला आहात का
मला उद्या अभ्यास करायचाय.,मला उद्या अभ्यास करायचा आहे.,माझ्यासाठी उद्या अभ्यास करायचाय,माझ्यासाठी उद्या अभ्यास करायचा आहे
तु माझ्यासोबत जेवशील का?,आपण माझ्यासोबत जेवाल का?,तु माझ्यासोबत जेवशील का,आपण माझ्यासोबत जेवाल का
मला काही खरेदी करायचीय.,मला काही खरेदी करायची आहे.,माझ्यासाठी काही खरेदी करायचीय,माझ्यासाठी काही खरेदी करायची आहे
तु मला समजावलं का?,आपण मला समजावले का?,तु माझ्यासाठी समजावलं का,आपण माझ्यासाठी समजावले का
मला हे समजून घ्यायचंय.,मला हे समजून घ्यायचे आहे.,माझ्यासाठी हे समजून घ्यायचंय,माझ्यासाठी हे समजून घ्यायचे आहे
तु अजून परत आला का?,आपण अजून परत आला आहात का?,तु अजून परत आला का,आपण अजून परत आला आहात का
मला पत्र टाकायचंय.,मला पत्र टाकायचे आहे.,माझ्यासाठी पत्र टाकायचंय,माझ्यासाठी पत्र टाकायचे आहे
तु माझ्याशी बोललास?,आपण माझ्याशी बोललात का?,तु माझ्याशी बोललास,आपण माझ्याशी बोललात का
मला बस पकडायचीय.,मला बस पकडायची आहे.,माझ्यासाठी बस पकडायचीय,माझ्यासाठी बस पकडायची आहे
तु अजून शिकतोस का?,आपण अजून शिकत आहात का?,तु अजून शिकतोस का,आपण अजून शिकत आहात का
मला चित्रपट बघायचाय.,मला चित्रपट बघायचा आहे.,माझ्यासाठी चित्रपट बघायचाय,माझ्यासाठी चित्रपट बघायचा आहे
तु अजून वेळ दिला का?,आपण अजून वेळ दिला का?,तु अजून वेळ दिला का,आपण अजून वेळ दिला का
मला त्याच्याशी बोलायचंय.,मला त्याच्याशी बोलायचे आहे.,माझ्यासाठी त्याच्याशी बोलायचंय,माझ्यासाठी त्याच्याशी बोलायचे आहे
तु अजून जेवलास का?,आपण अजून जेवले आहात का?,तु अजून जेवलास का,आपण अजून जेवले आहात का
मला उद्या निघायचंय.,मला उद्या निघायचे आहे.,माझ्यासाठी उद्या निघायचंय,माझ्यासाठी उद्या निघायचे आहे
तु काय करतो आहेस?,आपण काय करत आहात?,तु काय आहे करतो आहेस,आपण काय आहे करत आहात
मला घड्याळ विकत घ्यायचंय.,मला घड्याळ विकत घ्यायचे आहे.,माझ्यासाठी घड्याळ विकत घ्यायचंय,माझ्यासाठी घड्याळ विकत घ्यायचे आहे
तु अजून तयार आहेस का?,आपण अजून तयार आहात का?,तु अजून तयार आहेस का,आपण अजून तयार आहात का
मला उद्या भेट द्यायचीय.,मला उद्या भेट द्यायची आहे.,माझ्यासाठी उद्या भेट द्यायचीय,माझ्यासाठी उद्या भेट द्यायची आहे
तु अजून परत आला नाहीस का?,आपण अजून परत आले नाही आहात का?,तु अजून परत आला नाहीस का,आपण अजून परत आले नाही आहात का
मला चांगलं लिहायचंय.,मला चांगलं लिहायचे आहे.,माझ्यासाठी चांगलं लिहायचंय,माझ्यासाठी चांगलं लिहायचे आहे
तु अजून निघाला का?,आपण अजून निघाले आहात का?,तु अजून निघाला का,आपण अजून निघाले आहात का
मला खेळायला जायचंय.,मला खेळायला जायचे आहे.,माझ्यासाठी खेळायला जायचंय,माझ्यासाठी खेळायला जायचे आहे
तु अजून फोन केला का?,आपण अजून फोन केला का?,तु अजून फोन केला का,आपण अजून फोन केला का
मला गाणं शिकायचंय.,मला गाणं शिकायचे आहे.,माझ्यासाठी गाणं शिकायचंय,माझ्यासाठी गाणं शिकायचे आहे
तु अजून मित्र भेटलास का?,आपण अजून मित्र भेटलात का?,तु अजून मित्र भेटलास का,आपण अजून मित्र भेटलात का
मला खोली सजवायचीय.,मला खोली सजवायची आहे.,माझ्यासाठी खोली सजवायचीय,माझ्यासाठी खोली सजवायची आहे
तु अजून शिकलास का?,आपण अजून शिकलात का?,तु अजून शिकलास का,आपण अजून शिकलात का
मला मित्र भेटायचाय.,मला मित्र भेटायचा आहे.,माझ्यासाठी मित्र भेटायचाय,माझ्यासाठी मित्र भेटायचा आहे
तु अजून वाचलंस का?,आपण अजून वाचले का?,तु अजून वाचलंस का,आपण अजून वाचले का
मला उद्या विश्रांती घ्यायचीय.,मला उद्या विश्रांती घ्यायची आहे.,माझ्यासाठी उद्या विश्रांती घ्यायचीय,माझ्यासाठी उद्या विश्रांती घ्यायची आहे
तु अजून ऐकलंस का?,आपण अजून ऐकले का?,तु अजून ऐकलंस का,आपण अजून ऐकले का
मला बाजार करायचाय.,मला बाजार करायचा आहे.,माझ्यासाठी बाजार करायचाय,माझ्यासाठी बाजार करायचा आहे
तु अजून गेला नाहीस?,आपण अजून गेले नाही आहात का?,तु अजून गेला नाहीस,आपण अजून गेले नाही आहात का
मला मोबाईल वापरायचाय.,मला मोबाईल वापरायचा आहे.,माझ्यासाठी मोबाईल वापरायचाय,माझ्यासाठी मोबाईल वापरायचा आहे
तु अजून गातोस का?,आपण अजून गाता का?,तु अजून गातोस का,आपण अजून गाता का
मला आज सुट्टी घ्यायचीय.,मला आज सुट्टी घ्यायची आहे.,माझ्यासाठी आज सुट्टी घ्यायचीय,माझ्यासाठी आज सुट्टी घ्यायची आहे
तु अजून खेळतोस का?,आपण अजून खेळता का?,तु अजून खेळतोस का,आपण अजून खेळता का
मला लवकर निघायचंय.,मला लवकर निघायचे आहे.,माझ्यासाठी लवकर निघायचंय,माझ्यासाठी लवकर निघायचे आहे
तु अजून पत्र दिलंस का?,आपण अजून पत्र दिले का?,तु अजून पत्र दिलंस का,आपण अजून पत्र दिले का
मला खूप झोपायचंय.,मला खूप झोपायचे आहे.,माझ्यासाठी अत्यंत झोपायचंय,माझ्यासाठी अत्यंत झोपायचे आहे
तु अजून काही खाल्लंस का?,आपण अजून काही खाल्ले का?,तु अजून काही खाल्लंस का,आपण अजून काही खाल्ले का
मला हे समजून घ्यायचंय.,मला हे समजून घ्यायचे आहे.,माझ्यासाठी हे समजून घ्यायचंय,माझ्यासाठी हे समजून घ्यायचे आहे
informal_sentence	formal_sentence,,informal sentence formal sentence,nan
जेवलास  रे?	आपण जेवण केले आहे का?,,जेवलास महोदय आपण जेवण केले आहे का,nan
मदत करशील ?	आपण मला मदत करू शकता का?,,मदत करशील आपण माझ्यासाठी मदत करू शकता का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
मदत करशील ?	आपण मला मदत करू शकता का?,,मदत करशील आपण माझ्यासाठी मदत करू शकता का,nan
उद्या येशील ?	आपण उद्या येणार आहात का?,,उद्या येशील आपण उद्या येणार आहात का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
कुठं जातोयस रे?	आपण कुठे जात आहात?,,कुठं जातोयस महोदय आपण कुठे जात आहात,nan
जेवलास  रे?	आपण जेवण केले आहे का?,,जेवलास महोदय आपण जेवण केले आहे का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
कसा आहेस रे?	आपण कसे आहात?,,कसा आहेस महोदय आपण कसे आहात,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
अभ्यास करतोयस  रे?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस महोदय आपण अभ्यास करत आहात का,nan
