informal,formal,input_processed,target_processed
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
अभ्यास करतोयस  रे?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस महोदय आपण अभ्यास करत आहात का,nan
अभ्यास करतोयस  रे?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस महोदय आपण अभ्यास करत आहात का,nan
बसमध्ये बसलास  रे?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास महोदय आपण बसमध्ये बसलेले आहात का,nan
उद्या येशील ?	आपण उद्या येणार आहात का?,,उद्या येशील आपण उद्या येणार आहात का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
मदत करशील ?	आपण मला मदत करू शकता का?,,मदत करशील आपण माझ्यासाठी मदत करू शकता का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
मदत करशील  रे?	आपण मला मदत करू शकता का?,,मदत करशील महोदय आपण माझ्यासाठी मदत करू शकता का,nan
कुठं जातोयस रे?	आपण कुठे जात आहात?,,कुठं जातोयस महोदय आपण कुठे जात आहात,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
सोबत येशील  रे?	आपण माझ्यासोबत याल का?,,सोबत येशील महोदय आपण माझ्यासोबत याल का,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
मदत करशील ?	आपण मला मदत करू शकता का?,,मदत करशील आपण माझ्यासाठी मदत करू शकता का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
मदत करशील ?	आपण मला मदत करू शकता का?,,मदत करशील आपण माझ्यासाठी मदत करू शकता का,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
सोबत येशील  रे?	आपण माझ्यासोबत याल का?,,सोबत येशील महोदय आपण माझ्यासोबत याल का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
कसा आहेस रे?	आपण कसे आहात?,,कसा आहेस महोदय आपण कसे आहात,nan
सोबत येशील  रे?	आपण माझ्यासोबत याल का?,,सोबत येशील महोदय आपण माझ्यासोबत याल का,nan
बसमध्ये बसलास  रे?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास महोदय आपण बसमध्ये बसलेले आहात का,nan
कसा आहेस रे?	आपण कसे आहात?,,कसा आहेस महोदय आपण कसे आहात,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
जेवलास  रे?	आपण जेवण केले आहे का?,,जेवलास महोदय आपण जेवण केले आहे का,nan
उद्या येशील  रे?	आपण उद्या येणार आहात का?,,उद्या येशील महोदय आपण उद्या येणार आहात का,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
कसा आहेस रे?	आपण कसे आहात?,,कसा आहेस महोदय आपण कसे आहात,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
मदत करशील  रे?	आपण मला मदत करू शकता का?,,मदत करशील महोदय आपण माझ्यासाठी मदत करू शकता का,nan
कसा आहेस रे?	आपण कसे आहात?,,कसा आहेस महोदय आपण कसे आहात,nan
कुठं जातोयस रे?	आपण कुठे जात आहात?,,कुठं जातोयस महोदय आपण कुठे जात आहात,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
कसा आहेस रे?	आपण कसे आहात?,,कसा आहेस महोदय आपण कसे आहात,nan
कसा आहेस रे?	आपण कसे आहात?,,कसा आहेस महोदय आपण कसे आहात,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
मदत करशील  रे?	आपण मला मदत करू शकता का?,,मदत करशील महोदय आपण माझ्यासाठी मदत करू शकता का,nan
कुठं जातोयस रे?	आपण कुठे जात आहात?,,कुठं जातोयस महोदय आपण कुठे जात आहात,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
उद्या येशील ?	आपण उद्या येणार आहात का?,,उद्या येशील आपण उद्या येणार आहात का,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
उद्या येशील  रे?	आपण उद्या येणार आहात का?,,उद्या येशील महोदय आपण उद्या येणार आहात का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
घरी जातोयस  रे?	आपण घरी जात आहात का?,,घरी जातोयस महोदय आपण घरी जात आहात का,nan
उद्या येशील ?	आपण उद्या येणार आहात का?,,उद्या येशील आपण उद्या येणार आहात का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
अभ्यास करतोयस  रे?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस महोदय आपण अभ्यास करत आहात का,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
मदत करशील ?	आपण मला मदत करू शकता का?,,मदत करशील आपण माझ्यासाठी मदत करू शकता का,nan
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
मदत करशील ?	आपण मला मदत करू शकता का?,,मदत करशील आपण माझ्यासाठी मदत करू शकता का,nan
घरी जातोयस  रे?	आपण घरी जात आहात का?,,घरी जातोयस महोदय आपण घरी जात आहात का,nan
अभ्यास करतोयस  रे?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस महोदय आपण अभ्यास करत आहात का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
कुठं जातोयस रे?	आपण कुठे जात आहात?,,कुठं जातोयस महोदय आपण कुठे जात आहात,nan
घरी जातोयस  रे?	आपण घरी जात आहात का?,,घरी जातोयस महोदय आपण घरी जात आहात का,nan
बसमध्ये बसलास  रे?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास महोदय आपण बसमध्ये बसलेले आहात का,nan
जेवलास  रे?	आपण जेवण केले आहे का?,,जेवलास महोदय आपण जेवण केले आहे का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
मदत करशील  रे?	आपण मला मदत करू शकता का?,,मदत करशील महोदय आपण माझ्यासाठी मदत करू शकता का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
सोबत येशील  रे?	आपण माझ्यासोबत याल का?,,सोबत येशील महोदय आपण माझ्यासोबत याल का,nan
जेवलास  रे?	आपण जेवण केले आहे का?,,जेवलास महोदय आपण जेवण केले आहे का,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
कसा आहेस रे?	आपण कसे आहात?,,कसा आहेस महोदय आपण कसे आहात,nan
उद्या येशील  रे?	आपण उद्या येणार आहात का?,,उद्या येशील महोदय आपण उद्या येणार आहात का,nan
घरी जातोयस  रे?	आपण घरी जात आहात का?,,घरी जातोयस महोदय आपण घरी जात आहात का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
जेवलास  रे?	आपण जेवण केले आहे का?,,जेवलास महोदय आपण जेवण केले आहे का,nan
उद्या येशील  रे?	आपण उद्या येणार आहात का?,,उद्या येशील महोदय आपण उद्या येणार आहात का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
मदत करशील ?	आपण मला मदत करू शकता का?,,मदत करशील आपण माझ्यासाठी मदत करू शकता का,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
बसमध्ये बसलास  रे?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास महोदय आपण बसमध्ये बसलेले आहात का,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
उद्या येशील ?	आपण उद्या येणार आहात का?,,उद्या येशील आपण उद्या येणार आहात का,nan
कुठं जातोयस रे?	आपण कुठे जात आहात?,,कुठं जातोयस महोदय आपण कुठे जात आहात,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
घरी जातोयस  रे?	आपण घरी जात आहात का?,,घरी जातोयस महोदय आपण घरी जात आहात का,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
अभ्यास करतोयस  रे?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस महोदय आपण अभ्यास करत आहात का,nan
मदत करशील  रे?	आपण मला मदत करू शकता का?,,मदत करशील महोदय आपण माझ्यासाठी मदत करू शकता का,nan
कुठं जातोयस रे?	आपण कुठे जात आहात?,,कुठं जातोयस महोदय आपण कुठे जात आहात,nan
उद्या येशील ?	आपण उद्या येणार आहात का?,,उद्या येशील आपण उद्या येणार आहात का,nan
उद्या येशील ?	आपण उद्या येणार आहात का?,,उद्या येशील आपण उद्या येणार आहात का,nan
घरी जातोयस  रे?	आपण घरी जात आहात का?,,घरी जातोयस महोदय आपण घरी जात आहात का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
कसा आहेस रे?	आपण कसे आहात?,,कसा आहेस महोदय आपण कसे आहात,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
उद्या येशील ?	आपण उद्या येणार आहात का?,,उद्या येशील आपण उद्या येणार आहात का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
सोबत येशील  रे?	आपण माझ्यासोबत याल का?,,सोबत येशील महोदय आपण माझ्यासोबत याल का,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
सोबत येशील  रे?	आपण माझ्यासोबत याल का?,,सोबत येशील महोदय आपण माझ्यासोबत याल का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
बसमध्ये बसलास  रे?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास महोदय आपण बसमध्ये बसलेले आहात का,nan
कसा आहेस रे?	आपण कसे आहात?,,कसा आहेस महोदय आपण कसे आहात,nan
मदत करशील ?	आपण मला मदत करू शकता का?,,मदत करशील आपण माझ्यासाठी मदत करू शकता का,nan
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
बसमध्ये बसलास  रे?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास महोदय आपण बसमध्ये बसलेले आहात का,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
मदत करशील ?	आपण मला मदत करू शकता का?,,मदत करशील आपण माझ्यासाठी मदत करू शकता का,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
घरी जातोयस  रे?	आपण घरी जात आहात का?,,घरी जातोयस महोदय आपण घरी जात आहात का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
उद्या येशील ?	आपण उद्या येणार आहात का?,,उद्या येशील आपण उद्या येणार आहात का,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
बसमध्ये बसलास  रे?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास महोदय आपण बसमध्ये बसलेले आहात का,nan
अभ्यास करतोयस  रे?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस महोदय आपण अभ्यास करत आहात का,nan
घरी जातोयस ?	आपण घरी जात आहात का?,,घरी जातोयस आपण घरी जात आहात का,nan
बसमध्ये बसलास ?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास आपण बसमध्ये बसलेले आहात का,nan
सोबत येशील  रे?	आपण माझ्यासोबत याल का?,,सोबत येशील महोदय आपण माझ्यासोबत याल का,nan
मदत करशील  रे?	आपण मला मदत करू शकता का?,,मदत करशील महोदय आपण माझ्यासाठी मदत करू शकता का,nan
उद्या येशील  रे?	आपण उद्या येणार आहात का?,,उद्या येशील महोदय आपण उद्या येणार आहात का,nan
उद्या येशील ?	आपण उद्या येणार आहात का?,,उद्या येशील आपण उद्या येणार आहात का,nan
अभ्यास करतोयस  रे?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस महोदय आपण अभ्यास करत आहात का,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
मदत करशील  रे?	आपण मला मदत करू शकता का?,,मदत करशील महोदय आपण माझ्यासाठी मदत करू शकता का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
बसमध्ये बसलास  रे?	आपण बसमध्ये बसलेले आहात का?,,बसमध्ये बसलास महोदय आपण बसमध्ये बसलेले आहात का,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
जेवलास ?	आपण जेवण केले आहे का?,,जेवलास आपण जेवण केले आहे का,nan
उद्या येशील ?	आपण उद्या येणार आहात का?,,उद्या येशील आपण उद्या येणार आहात का,nan
उद्या येशील  रे?	आपण उद्या येणार आहात का?,,उद्या येशील महोदय आपण उद्या येणार आहात का,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
कुठं जातोयस रे?	आपण कुठे जात आहात?,,कुठं जातोयस महोदय आपण कुठे जात आहात,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
सोबत येशील  रे?	आपण माझ्यासोबत याल का?,,सोबत येशील महोदय आपण माझ्यासोबत याल का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
काय करतोयस?	आपण काय करत आहात?,,काय आहे करतोयस आपण काय आहे करत आहात,nan
कसा आहेस?	आपण कसे आहात?,,कसा आहेस आपण कसे आहात,nan
सोबत येशील ?	आपण माझ्यासोबत याल का?,,सोबत येशील आपण माझ्यासोबत याल का,nan
घरी जातोयस  रे?	आपण घरी जात आहात का?,,घरी जातोयस महोदय आपण घरी जात आहात का,nan
काय करतोयस रे?	आपण काय करत आहात?,,काय आहे करतोयस महोदय आपण काय आहे करत आहात,nan
अभ्यास करतोयस ?	आपण अभ्यास करत आहात का?,,अभ्यास करतोयस आपण अभ्यास करत आहात का,nan
कुठं जातोयस?	आपण कुठे जात आहात?,,कुठं जातोयस आपण कुठे जात आहात,nan
कुठं जातोयस रे?	आपण कुठे जात आहात?,,कुठं जातोयस महोदय आपण कुठे जात आहात,nan
